price,amount,side
86.603,1.456363,ask
86.582,2.4468,ask
86.52,1.196766,ask
86.519,2.4468,ask
86.477,1.210992,ask
86.474,2.4468,ask
86.472,659.75697,ask
86.471,186.954425,ask
86.465,2.4468,ask
86.458,2.8,ask
86.456,2.4468,ask
86.405,608.658827,ask
86.397,2.4468,ask
86.385,80.603529,ask
86.379,2.4468,ask
86.354,300.246261,ask
86.348,2.4468,ask
86.344,355.9602,ask
86.34,83.033349,ask
86.339,2.4468,ask
86.323,116.106235,ask
86.316,2.4468,ask
86.315,65.970455,ask
86.307,2.4468,ask
86.302,68.211579,ask
86.298,2.4468,ask
86.297,80.412849,ask
86.289,2.4468,ask
86.258,142.38408,ask
86.252,2.4468,ask
86.225,2.4468,ask
86.224,27.862,ask
86.212,2.4468,ask
86.211,7.424103,ask
86.203,2.4468,ask
86.202,80.826898,ask
86.183,2.4468,ask
86.18,0.564,ask
86.177,116.12522,ask
86.174,2.4468,ask
86.168,35.59602,ask
86.167,11.458,ask
86.164,2.4468,ask
86.155,2.4468,ask
86.15,0.846,ask
86.147,600.0,ask
86.146,2.4468,ask
86.132,29.031305,ask
86.119,1.212177,ask
86.112,2.4468,ask
86.102,2.4468,bid
86.101,11.458,bid
86.1,1.779801,bid
86.098,1.286936,bid
86.096,32.490418,bid
86.092,2.4468,bid
86.091,29.031305,bid
86.083,2.4468,bid
86.075,19.064381,bid
86.074,2.4468,bid
86.07,0.846,bid
86.066,35.59602,bid
86.065,2.4468,bid
86.056,2.4468,bid
86.05,116.12522,bid
86.049,81.388045,bid
86.047,2.4468,bid
86.046,600.0,bid
86.04,0.564,bid
86.038,2.4468,bid
86.018,27.861,bid
86.007,2.4468,bid
86.0,142.38408,bid
85.998,2.4468,bid
85.983,67.175492,bid
85.951,2.4468,bid
85.928,63.614176,bid
85.915,2.4468,bid
85.914,355.9602,bid
85.911,60.0,bid
85.906,2.4468,bid
85.902,116.106235,bid
85.897,2.4468,bid
85.876,318.491322,bid
85.827,2.4468,bid
85.825,629.253618,bid
85.82,3.892903,bid
85.818,2.4468,bid
85.8,2.4468,bid
85.782,2.4468,bid
85.768,81.409837,bid
85.764,2.4468,bid
85.758,606.365829,bid
85.755,2.4468,bid
85.752,90.4,bid
85.737,2.4468,bid
85.728,2.4468,bid
85.725,83.659871,bid
85.719,11.926916,bid
85.71,2.4468,bid
86.86,0.751,ask
86.858,1.057295,ask
86.841,877.306292,ask
86.78,2.4468,ask
86.719,3.872687,ask
86.7,0.147579,ask
86.699,2.4468,ask
86.686,107.206235,ask
86.666,638.304232,ask
86.609,2.4468,ask
86.603,1.456363,ask
86.582,2.4468,ask
86.52,1.196766,ask
86.519,2.4468,ask
86.477,1.210992,ask
86.474,2.4468,ask
86.472,659.75697,ask
86.471,186.954425,ask
86.469,2.8,ask
86.465,2.4468,ask
86.385,633.733283,ask
86.379,2.4468,ask
86.344,356.28456,ask
86.34,395.281394,ask
86.339,2.4468,ask
86.328,116.12705,ask
86.307,2.4468,ask
86.303,66.718427,ask
86.298,2.4468,ask
86.297,80.412849,ask
86.29,62.254745,ask
86.289,2.4468,ask
86.258,142.513824,ask
86.252,2.4468,ask
86.236,27.86,ask
86.212,2.4468,ask
86.211,7.424103,ask
86.204,80.826898,ask
86.203,2.4468,ask
86.19,116.678734,ask
86.185,2.4468,ask
86.183,11.458,ask
86.181,35.628456,ask
86.176,2.4468,ask
86.167,2.4468,ask
86.157,600.0,ask
86.153,2.4468,ask
86.15,29.874831,ask
86.127,1.247245,ask
86.126,2.4468,ask
86.114,3.672757,bid
86.113,1.781423,bid
86.109,29.028831,bid
86.105,13.9038,bid
86.091,19.064381,bid
86.09,2.4468,bid
86.085,600.0,bid
86.08,0.846,bid
86.079,35.628456,bid
86.073,2.4468,bid
86.066,81.388045,bid
86.064,2.4468,bid
86.063,116.114734,bid
86.051,2.4468,bid
86.05,0.564,bid
86.049,15.084622,bid
86.038,2.4468,bid
86.031,27.862,bid
86.007,2.4468,bid
86.0,167.9208,bid
85.98,2.4468,bid
85.964,69.232124,bid
85.915,2.4468,bid
85.914,356.28456,bid
85.906,118.57385,bid
85.897,2.4468,bid
85.887,69.883121,bid
85.879,2.4468,bid
85.844,60.0,bid
85.843,2.4468,bid
85.837,81.409837,bid
85.827,2.4468,bid
85.825,629.253618,bid
85.82,3.892903,bid
85.818,2.4468,bid
85.816,317.767979,bid
85.815,30.4,bid
85.782,2.4468,bid
85.764,2.4468,bid
85.758,606.365829,bid
85.728,2.4468,bid
85.725,83.659871,bid
85.719,11.926916,bid
85.71,2.4468,bid
85.701,2.4468,bid
85.692,2.4468,bid
85.683,2.4468,bid
85.674,2.4468,bid
85.665,2.4468,bid
85.657,83.082381,bid
86.864,868.777072,ask
86.86,0.751,ask
86.858,1.057295,ask
86.78,2.4468,ask
86.719,3.872687,ask
86.7,0.147579,ask
86.699,2.4468,ask
86.69,652.149032,ask
86.686,107.206235,ask
86.609,2.4468,ask
86.603,1.456363,ask
86.582,2.4468,ask
86.52,1.196766,ask
86.519,2.4468,ask
86.495,668.944327,ask
86.477,1.210992,ask
86.474,2.4468,ask
86.472,80.603529,ask
86.471,186.954425,ask
86.465,2.4468,ask
86.429,569.829615,ask
86.415,2.4468,ask
86.378,284.551046,ask
86.377,83.033349,ask
86.375,2.4468,ask
86.348,2.4468,ask
86.344,356.13812,ask
86.339,2.4468,ask
86.33,116.119463,ask
86.326,66.914059,ask
86.325,148.011328,ask
86.316,2.4468,ask
86.258,142.455248,ask
86.257,2.4468,ask
86.24,27.86,ask
86.232,2.4468,ask
86.229,7.791284,ask
86.223,2.4468,ask
86.195,80.826898,ask
86.18,0.564,ask
86.175,13.9038,ask
86.168,116.137738,ask
86.166,2.4468,ask
86.16,35.613812,ask
86.157,2.4468,ask
86.144,600.0,ask
86.14,0.846,ask
86.131,2.4468,ask
86.124,29.034247,ask
86.11,1.267418,ask
86.103,2.4468,bid
86.095,11.457,bid
86.094,1.282672,bid
86.092,1.780691,bid
86.088,2.4468,bid
86.084,29.034247,bid
86.072,19.064381,bid
86.071,2.4468,bid
86.07,0.846,bid
86.062,2.4468,bid
86.059,35.613812,bid
86.055,600.0,bid
86.051,2.4468,bid
86.049,15.084622,bid
86.042,199.939864,bid
86.03,28.425,bid
86.007,2.4468,bid
86.0,167.862224,bid
85.998,2.4468,bid
85.978,71.025509,bid
85.915,2.4468,bid
85.914,356.13812,bid
85.913,66.067758,bid
85.906,116.136987,bid
85.87,2.4468,bid
85.859,81.409837,bid
85.858,608.892337,bid
85.852,2.4468,bid
85.849,289.640654,bid
85.827,2.4468,bid
85.82,3.892903,bid
85.818,2.4468,bid
85.816,83.659871,bid
85.809,2.4468,bid
85.791,604.481797,bid
85.782,2.4468,bid
85.773,83.082381,bid
85.728,2.4468,bid
85.719,11.926916,bid
85.68,188.915714,bid
85.62,2.4468,bid
85.597,745.894306,bid
85.593,2.4468,bid
85.5,11.695906,bid
85.423,866.9363,bid
85.374,3.91324,bid
85.364,2061.719548,bid
85.361,108.982292,bid
85.35,117.164616,bid
85.308,1.235429,bid
86.78,2.4468,ask
86.771,189.401225,ask
86.762,2.4468,ask
86.753,2.4468,ask
86.744,559.000443,ask
86.735,2.4468,ask
86.726,2.4468,ask
86.719,3.872687,ask
86.717,2.4468,ask
86.711,1.196766,ask
86.708,2.4468,ask
86.7,0.147579,ask
86.699,2.4468,ask
86.69,2.4468,ask
86.685,80.603529,ask
86.681,2.4468,ask
86.672,313.972633,ask
86.663,2.4468,ask
86.657,83.033349,ask
86.654,2.4468,ask
86.645,2.4468,ask
86.638,80.412849,ask
86.636,2.4468,ask
86.635,7.26074,ask
86.633,65.350921,ask
86.627,2.4468,ask
86.614,115.730072,ask
86.609,2.4468,ask
86.603,1.456363,ask
86.602,176.594004,ask
86.6,2.4468,ask
86.576,71.844199,ask
86.562,2.4468,ask
86.54,80.826898,ask
86.529,2.4468,ask
86.516,44.148501,ask
86.51,27.759,ask
86.5,2.4468,ask
86.483,2.4468,ask
86.468,2.4468,ask
86.459,2.4468,ask
86.452,115.743035,ask
86.448,11.414,ask
86.442,2.4468,ask
86.44,0.846,ask
86.427,600.0,ask
86.426,2.4468,ask
86.418,44.148501,ask
86.413,28.935759,ask
86.407,3.652156,ask
86.385,2.4468,bid
86.383,1.21438,bid
86.372,28.935759,bid
86.37,0.846,bid
86.368,2.4468,bid
86.367,4.473519,bid
86.366,11.415,bid
86.365,44.148501,bid
86.36,13.811414,bid
86.351,2.4468,bid
86.346,600.0,bid
86.342,2.4468,bid
86.33,0.564,bid
86.329,115.743035,bid
86.326,2.4468,bid
86.317,2.4468,bid
86.315,4.473519,bid
86.308,2.4468,bid
86.299,2.4468,bid
86.293,19.064381,bid
86.29,27.759,bid
86.281,2.4468,bid
86.27,73.645535,bid
86.264,2.4468,bid
86.259,81.388045,bid
86.258,44.148501,bid
86.255,2.4468,bid
86.221,2.4468,bid
86.215,72.264888,bid
86.212,2.4468,bid
86.194,2.4468,bid
86.191,115.730072,bid
86.177,2.4468,bid
86.172,176.594004,bid
86.168,2.4468,bid
86.153,279.339814,bid
86.15,2.4468,bid
86.129,608.397996,bid
86.119,2.4468,bid
86.11,2.4468,bid
86.089,2.4468,bid
86.08,2.4468,bid
86.062,2.4468,bid
86.053,2.4468,bid
86.045,588.369478,bid
86.044,2.4468,bid
86.016,81.409837,bid
86.004,2.4468,bid
86.0,25.906976,bid
85.997,83.659871,bid
86.807,2.4468,ask
86.802,652.448819,ask
86.798,2.4468,ask
86.789,2.4468,ask
86.78,2.4468,ask
86.771,189.401225,ask
86.762,2.4468,ask
86.753,2.4468,ask
86.735,533.713691,ask
86.726,2.4468,ask
86.719,3.872687,ask
86.717,2.4468,ask
86.711,1.196766,ask
86.708,2.4468,ask
86.7,83.180928,ask
86.699,2.4468,ask
86.69,2.4468,ask
86.685,80.603529,ask
86.684,279.899198,ask
86.681,2.4468,ask
86.636,2.4468,ask
86.635,7.26074,ask
86.632,62.34504,ask
86.629,115.717509,ask
86.627,2.4468,ask
86.618,2.4468,ask
86.612,63.683289,ask
86.609,2.4468,ask
86.603,1.456363,ask
86.602,353.53089,ask
86.6,2.4468,ask
86.558,80.412849,ask
86.556,2.4468,ask
86.537,27.759,ask
86.53,0.564,ask
86.518,2.4468,ask
86.516,141.412356,ask
86.515,80.826898,ask
86.509,2.4468,ask
86.493,115.717508,ask
86.491,2.4468,ask
86.49,0.846,ask
86.482,2.4468,ask
86.47,35.353089,ask
86.467,600.0,ask
86.466,2.4468,ask
86.458,11.416,ask
86.457,2.4468,ask
86.454,28.929377,ask
86.441,3.736824,ask
86.428,2.4468,bid
86.423,3.058917,bid
86.414,28.929377,bid
86.411,2.4468,bid
86.41,0.846,bid
86.392,2.4468,bid
86.387,611.416,bid
86.383,35.353089,bid
86.375,2.4468,bid
86.368,115.717508,bid
86.367,19.064381,bid
86.36,0.564,bid
86.352,2.4468,bid
86.336,81.388045,bid
86.334,2.4468,bid
86.325,2.4468,bid
86.32,27.76,bid
86.29,2.4468,bid
86.284,8.394284,bid
86.281,2.4468,bid
86.279,68.413311,bid
86.264,2.4468,bid
86.258,141.412356,bid
86.246,2.4468,bid
86.24,65.279917,bid
86.237,2.4468,bid
86.203,115.699018,bid
86.194,2.4468,bid
86.188,279.234515,bid
86.185,2.4468,bid
86.172,353.53089,bid
86.15,2.4468,bid
86.137,564.343407,bid
86.133,60.0,bid
86.132,2.4468,bid
86.127,81.409837,bid
86.119,2.4468,bid
86.11,2.4468,bid
86.089,2.4468,bid
86.084,83.659871,bid
86.08,2.4468,bid
86.07,619.31927,bid
86.062,2.4468,bid
86.053,2.4468,bid
86.044,2.4468,bid
86.004,2.4468,bid
86.0,25.906976,bid
85.995,2.4468,bid
85.97,83.082381,bid
85.962,2.4468,bid
86.771,189.401225,ask
86.762,2.4468,ask
86.735,2.4468,ask
86.726,2.4468,ask
86.719,3.872687,ask
86.717,558.301385,ask
86.711,1.196766,ask
86.708,2.4468,ask
86.7,0.147579,ask
86.699,2.4468,ask
86.685,80.603529,ask
86.681,2.4468,ask
86.645,2.4468,ask
86.638,606.685865,ask
86.636,2.4468,ask
86.635,7.26074,ask
86.627,2.4468,ask
86.611,83.033349,ask
86.609,2.4468,ask
86.603,1.456363,ask
86.6,2.4468,ask
86.599,320.145784,ask
86.598,80.412849,ask
86.59,2.4468,ask
86.582,62.940328,ask
86.572,2.4468,ask
86.566,115.789382,ask
86.563,72.809373,ask
86.554,2.4468,ask
86.545,2.4468,ask
86.536,2.4468,ask
86.516,354.2809,ask
86.507,2.4468,ask
86.465,27.781,ask
86.463,2.4468,ask
86.46,0.564,ask
86.453,80.826898,ask
86.439,2.4468,ask
86.43,141.71236,ask
86.415,2.4468,ask
86.412,11.424,ask
86.41,0.846,ask
86.404,2.4468,ask
86.4,115.801295,ask
86.395,2.4468,ask
86.387,600.0,ask
86.383,35.42809,ask
86.36,2.4468,ask
86.354,30.151948,ask
86.346,2.4468,ask
86.338,2.4468,bid
86.33,0.846,bid
86.327,2.4468,bid
86.32,1.21783,bid
86.318,4.218204,bid
86.314,28.950324,bid
86.309,2.4468,bid
86.308,11.425,bid
86.3,2.4468,bid
86.297,600.0,bid
86.291,19.064381,bid
86.29,3.0108,bid
86.289,35.42809,bid
86.284,8.394284,bid
86.281,2.4468,bid
86.274,115.801295,bid
86.264,2.4468,bid
86.257,81.388045,bid
86.255,2.4468,bid
86.24,27.782,bid
86.237,2.4468,bid
86.23,71.500838,bid
86.176,2.4468,bid
86.172,141.71236,bid
86.167,2.4468,bid
86.156,68.848335,bid
86.15,2.4468,bid
86.141,2.4468,bid
86.138,115.801295,bid
86.133,60.0,bid
86.132,2.4468,bid
86.127,81.409837,bid
86.123,2.4468,bid
86.114,2.4468,bid
86.104,329.228757,bid
86.089,2.4468,bid
86.086,354.2809,bid
86.084,83.659871,bid
86.08,2.4468,bid
86.053,552.424297,bid
86.044,2.4468,bid
86.004,2.4468,bid
86.0,25.906976,bid
85.995,2.4468,bid
85.986,631.718084,bid
85.977,2.4468,bid
85.97,83.082381,bid
85.906,2.4468,bid
85.889,188.915714,bid
85.888,2.4468,bid
86.852,2.4468,ask
86.802,655.348956,ask
86.798,2.4468,ask
86.771,189.401225,ask
86.762,2.4468,ask
86.736,623.04358,ask
86.735,2.4468,ask
86.726,2.4468,ask
86.719,3.872687,ask
86.717,2.4468,ask
86.711,1.196766,ask
86.708,2.4468,ask
86.7,0.147579,ask
86.699,2.4468,ask
86.69,2.4468,ask
86.685,395.015123,ask
86.681,2.4468,ask
86.663,2.4468,ask
86.654,2.4468,ask
86.645,2.4468,ask
86.636,2.4468,ask
86.635,7.26074,ask
86.633,72.742195,ask
86.627,2.4468,ask
86.626,186.008203,ask
86.618,2.4468,ask
86.603,1.456363,ask
86.602,353.75323,ask
86.601,83.033349,ask
86.6,2.4468,ask
86.556,80.412849,ask
86.534,2.4468,ask
86.525,2.4468,ask
86.518,27.76,ask
86.516,141.501292,ask
86.5,0.564,ask
86.496,2.4468,ask
86.495,80.826898,ask
86.485,2.4468,ask
86.483,115.718965,ask
86.476,2.4468,ask
86.469,35.375323,ask
86.468,11.416,ask
86.467,600.0,ask
86.46,3.2928,ask
86.451,2.4468,ask
86.444,28.929741,ask
86.434,2.4468,ask
86.424,1.292676,ask
86.42,2.4468,ask
86.416,2.4468,bid
86.409,1.768766,bid
86.408,1.246331,bid
86.407,2.4468,bid
86.403,28.929741,bid
86.398,2.4468,bid
86.391,11.416,bid
86.387,2.4468,bid
86.38,0.846,bid
86.375,600.0,bid
86.372,2.4468,bid
86.366,19.064381,bid
86.363,37.822123,bid
86.354,115.718965,bid
86.353,2.4468,bid
86.344,2.4468,bid
86.335,2.4468,bid
86.33,81.952045,bid
86.326,2.4468,bid
86.317,2.4468,bid
86.308,2.4468,bid
86.306,27.758,bid
86.299,2.4468,bid
86.29,2.4468,bid
86.284,8.394284,bid
86.281,2.4468,bid
86.275,68.287525,bid
86.263,2.4468,bid
86.258,141.501292,bid
86.254,2.4468,bid
86.245,2.4468,bid
86.203,115.718964,bid
86.201,70.424039,bid
86.192,2.4468,bid
86.176,62.4468,bid
86.172,353.75323,bid
86.167,2.4468,bid
86.158,2.4468,bid
86.149,604.422874,bid
86.141,303.990114,bid
86.132,2.4468,bid
86.127,81.409837,bid
86.114,2.4468,bid
86.105,2.4468,bid
86.089,2.4468,bid
86.084,83.659871,bid
86.082,630.79032,bid
86.08,2.4468,bid
86.071,2.4468,bid
86.004,2.4468,bid
88.093,1.209247,ask
88.085,3.812626,ask
88.043,1.189459,ask
88.017,1158.72395,ask
87.901,1.456363,ask
87.9,0.742,ask
87.627,3.832526,ask
87.562,55.351934,ask
87.518,1.196597,ask
87.343,0.078,ask
87.326,2677.251453,ask
87.172,3.852546,ask
87.155,1.222262,ask
87.146,53.488709,ask
87.099,2056.210826,ask
87.095,0.715056,ask
87.075,866.064752,ask
87.042,107.206235,ask
86.997,1.203765,ask
86.907,0.973799,ask
86.9,622.313765,ask
86.86,0.751,ask
86.858,1.057295,ask
86.776,2.8,ask
86.771,186.954425,ask
86.719,3.872687,ask
86.706,556.02888,ask
86.7,0.147579,ask
86.685,80.603529,ask
86.639,525.099433,ask
86.603,1.456363,ask
86.588,313.887544,ask
86.575,83.033349,ask
86.536,115.870555,ask
86.534,80.412849,ask
86.523,68.30253,ask
86.516,354.59443,ask
86.513,71.306284,ask
86.512,1.196765,ask
86.441,27.798,ask
86.43,141.837772,ask
86.41,0.564,ask
86.403,80.826898,ask
86.395,115.856662,ask
86.386,35.459443,ask
86.381,11.427,ask
86.37,0.846,ask
86.356,28.964166,ask
86.354,7.445707,ask
86.342,1.297323,ask
86.33,1.1279,bid
86.322,1.772972,bid
86.318,1.1279,bid
86.316,28.964166,bid
86.31,1.265761,bid
86.308,1.1279,bid
86.295,19.064381,bid
86.294,1.1279,bid
86.277,11.427,bid
86.271,35.459443,bid
86.27,116.702662,bid
86.268,1.1279,bid
86.259,12.834237,bid
86.228,81.388045,bid
86.226,1.1279,bid
86.22,0.564,bid
86.219,27.8,bid
86.174,1.1279,bid
86.172,141.837772,bid
86.165,1.1279,bid
86.154,62.443446,bid
86.111,1.1279,bid
86.107,197.269426,bid
86.093,1.1279,bid
86.092,72.80961,bid
86.086,354.59443,bid
86.057,1.1279,bid
86.053,83.659871,bid
86.052,60.0,bid
86.048,1.1279,bid
86.036,632.527402,bid
86.03,299.679934,bid
86.0,25.906976,bid
85.994,1.1279,bid
85.989,83.082381,bid
85.985,1.1279,bid
85.978,90.4,bid
85.976,1.1279,bid
85.969,622.08486,bid
85.904,1.1279,bid
85.889,188.915714,bid
85.859,1.1279,bid
85.82,3.892903,bid
85.814,1.1279,bid
85.775,724.612875,bid
85.719,9.480116,bid
85.699,108.982292,bid
85.622,1.210992,bid
85.6,832.440605,bid
85.554,2056.210826,bid
88.231,0.973799,ask
88.204,1156.501242,ask
88.2,1.057295,ask
88.093,1.209247,ask
88.085,3.812626,ask
88.043,1.189459,ask
87.901,1.456363,ask
87.9,0.742,ask
87.627,3.832526,ask
87.562,55.351934,ask
87.518,1.196597,ask
87.467,2705.407718,ask
87.388,53.488709,ask
87.343,0.078,ask
87.283,2051.731422,ask
87.216,852.924153,ask
87.172,3.852546,ask
87.155,1.222262,ask
87.154,2.8,ask
87.095,0.715056,ask
87.072,107.206235,ask
87.041,678.524511,ask
86.997,1.203765,ask
86.907,0.973799,ask
86.896,186.954425,ask
86.86,0.751,ask
86.858,1.057295,ask
86.846,663.810351,ask
86.809,80.603529,ask
86.78,534.757388,ask
86.729,334.135411,ask
86.719,119.494768,ask
86.714,83.033349,ask
86.7,0.147579,ask
86.688,353.55621,ask
86.676,74.763652,ask
86.673,66.411122,ask
86.641,1.18522,ask
86.638,80.412849,ask
86.606,27.75,ask
86.603,1.456363,ask
86.602,141.422484,ask
86.58,0.564,ask
86.573,80.826898,ask
86.563,115.586668,ask
86.547,635.355621,ask
86.54,0.846,ask
86.539,7.302346,ask
86.536,11.412,ask
86.519,30.127314,ask
86.485,1.767781,bid
86.484,1.25015,bid
86.478,28.896667,bid
86.47,11.41,bid
86.466,19.064381,bid
86.455,600.0,bid
86.452,35.355621,bid
86.45,0.846,bid
86.446,28.9576,bid
86.436,115.622081,bid
86.403,27.746,bid
86.401,81.388045,bid
86.4,0.564,bid
86.344,141.422484,bid
86.323,65.940581,bid
86.299,70.098213,bid
86.296,115.622081,bid
86.258,353.55621,bid
86.23,329.113534,bid
86.209,60.0,bid
86.179,631.369571,bid
86.169,81.409837,bid
86.113,663.97017,bid
86.1,23.6,bid
86.082,83.659871,bid
86.018,83.082381,bid
86.0,25.906976,bid
85.917,653.245673,bid
85.889,188.915714,bid
85.82,3.892903,bid
85.742,900.04592,bid
85.735,2051.731422,bid
